安全な薬	
PNP	"N04BC09 ·ロチゴチン 抗パーキンソン病薬
キンパルレブ・ニュープロ・ロチゴチン・ロチゴチン"
PNP	"N04BD01・セレギリン （抗パーキンソン病薬）
エルデプリル・ジュメックス・セガン・セレギリン・セルグレス"
PNP	"N04BD02・ラサギリン 抗パーキンソン病薬
アサニックス・アジレクト・ララゴ・ラサボン・ラサギリン・ラサギリナ・ラサギリン"
PNP	"N04BX02 ·エンタカポン 抗パーキンソン病薬
コムタン・コンテス・エンタカポン・エンタカポン"
NP	"N05AA01 ·クロルプロマジン 精神安定剤
クロルプロマジン・フェナクチル・クロルプロマジン・ラルガクチル"
NP	"N05AA02・レボメプロマジン 精神安定剤
レボメンティス・レボメプロマジン・レボメプロマジン・メトプラジン・ノジナン・ティセルシン"
PNP	"N05AB01 ·ジキシラジン系 精神安定剤
ディクシラジン"
NP	"N05AB02 ·フルフェナジン 精神安定剤
フルフェナジン・フルフェナジン・モデケート"
PNP	"N05AB03 ·ペルフェナジン系 精神安定剤
ペラツィン・ペルフェナジン・ペルフェナジン・トリラフォン"
NP	"N05AB04・プロクロルペラ ジン系精神安定剤
クロロペルナジナム·コンプロ·プロクロルペラジン·プロクロルペラジン·ステメチル"
PNP	"N05AB06 ·トリフルオペラジン 精神安定剤
トリフルオペラジン"
PNP	"N05AD01ハロペリドール精神 安定剤
デカルドール・ハルドール・ハロペリドール・セレナーゼ"
PNP	"N05AD08 ·ドロペリドール 精神安定剤
デヒドロベンズペリドール・ドリドール・ドロペリドール"
PNP	"N05AE03 ·セルチンドール系 精神安定剤
セルドレクト・セルチンドール"
PNP	"N05AE04 ·ジプラシドン 精神安定剤
ゼルドックス・ジプラノバ・ジプラシドン・ジプラシドン・ジプシラ"
PNP	"N05AF01 ·フルペンチキソール 精神安定剤
フルアンキソル・フルペンティクソル"
PNP	"N05AF03 ·クロルプロチキ セン 精神安定剤
クロルプロティクセン·クロルプロティクセン·トゥルクサール"
PNP	"N05AF05 ·ズクロペンチキ ソール 精神安定剤
シソルジノール・シソルジノール・アキュタード・クロピキソール・クロピキソール・デポ・ズクロペンティクソール"
PNP	"N05AH02 ·クロザピン系 精神安定剤
アユピル、クロピザム、クロプリネックス、クロザピン、クロザピン、フロディール、クロザピン、クロザポール、レポネックス、パキシファー、プリザピン、シンクロザ、ザポネックス"
PNP	"N05AH03・オランザピン系 精神安定剤
アンゾリン、エゴランザ、ファルペンタ、キナピン、ニコブ、オランザピン、オランザピナ、オランザピン、オランザラン、オランジン、オラザックス、オルピナット、オルザピン、ラノフレン、ザラスタ、ゾラフレン、ゾラクサ、ゾプリドキシン、ジレナ、ジパデラ、ジプレキサ"
PNP	"N05AH04 ·クエチアピン 精神安定剤
アルクレノ·アントレク·アポティアピナ·ビケタン·ボノグレン·エティアゲン·ケフレネックス·ケティレプト·ケティピノール·ケトレル·クヴェラックス·クベンティアックス·クヴェティアピン·クウェタプレックス· クウェティナ·クウェキシマ·ピニクセット ·クエティメド·クエンティアックス·クエスタックス·クエチアピン·クエチアピナ·クエチアピン·セロクエル・セチニン・スタダケル・シンケル・ゼナセル"
PNP	"N05AL01 ·スルピリド系 精神安定剤
ドグマティル・スルピリド・スルピリド・スプリウム"
PNP	"N05AL05・アミスルプリド 精神安定剤
アクチプロル、アミプリド、アミサン、アミスルプリド、アミスルプリド、アポサプリド、マスルタブ、ソリアン、シマミス"
NP	"N05AN01 ·リチウム系 精神安定剤
Carblit · Hypnorex · li-Liquid · Litarex · Lithionit · Lithium · Lithium Carbonicum · Litio Carbonato · Litium · Litiumkarbonat · Lito · Priadel"
PNP	"N05AX12 ·アリピプラゾール 精神安定剤
エビリファイ·アビリウム·アピプラックス·アプラ·アリビット·アリコガン·アリピレック·アリピプラゾール·アリピプラゾール·アリプサン · アルピクソール·アルポヤ·アリフレニックス·アリピプラゾール·アリザレラ·アスデューテル·エクスプレメド·シシカビリ·トラクティバ"
PNP	"N05AX13 ·パリペリドン 精神安定剤
ビャンリ·デネプラ·ドペリル·エゴロパル·インヴェガ·ロディクシオン·ニアペルフ·パリフレン·パリペリドン·パリペリドン·パリックス·パルミュー·パルニド·ポルトラキシン·プラティリア·プソカドロン·サイリパックス·トレヴィクタ·ゼプリオン"
PNP	"N05BA01 ·ジアゼパム系 精神安定剤
アポゼパム·ダイアパム·ジアゼパム·ジアゼパム-リプロ·メディパム·ネオレリウム·レラニウム·レルセド·ステソリド·バリウム·ビバル"
PNP	"N05BA04 ·オキサゼパム 精神安定剤
デリパム、オクサゼパム、オパモックス、オキサベンズ、オキサミン、オキサパックス、オキサゼパム、ソブリル"
PNP	"N05BA06 ·ロラゼパム 精神安定剤
リレジド·ロラベックス·ロラフェン·ロラゼパム·ラティヴァー·タヴォル·テメロール·テメスタ"
PNP	"N05BA12アルプラゾラム精神 安定剤
アフォバム、アルプラゲン、アルプラキシル、アルプラゾラム、アルプロックス、ニューロール、タフィル、ザナックス、ザノール、ゾミレン"
PNP	"N05BB01 ·ヒドロキシジン系 精神安定剤
アタラックス・コンフォーチン・ハイドロキシジン・ヒドロキシジン・塩酸ヒドロキシジン・ヒドロキシジン"
PNP	"N05BE01 ·ブスピロン （精神安定剤）
アンクシロン・ブリパル・ブスプ・ブスピロン・ブスピロン・スパミラン"
PNP	"N05CC01 ·抱水クロラール 精神 安定剤
クロラールヒドラート"
PNP	"N05CD05 ·トリアゾラム系 精神安定剤
ハルシオン・トリアゾラム"
PNP	"N05CD08・ミダゾラム （精神安定剤）
ブッコラム·ドルミクム·エピスタトゥス·メディロム·ミダニウム·ミダゾラム·ミダゾラムム·ミプロセド·ミゾルミク·ノゼラム·オザリン·オザセド·セノザム·ソロキラム"
PNP	"N05CF01 ·ゾピクロン 精神安定剤
アポドリーム·ドブロソン·イモメド·イモバネ·イモゾップ ·センゾップ·ソムノルズ·ソンラックス·ソンレスト·ゾピクロン·ゾピクロン·ゾピクロン·ゾピノックス·ゾピチン"
PNP	"N05CF02 ·ゾルピデム 精神安定剤
アポゾルピン·アポゾルピン·エドルアー·ヒプノゲン·ナーセン·ノキシゾール·オニレックス·ポルセン·サンヴァル·ソムノール· ステラ·スティルノクト·スティルノックス·ゾルケア·ゾルピック·ゾルピデム·ゾルピデムタルトラット·ゾルピゲン·ゾルサナ·ゾノクト"
PNP	"N05CF03 ·ザレプロン 精神安定剤
モルフェオ・ザレプロン"
PNP	"N05CH01 ·メラトニン 精神安定剤
セエスタ、サーカディン、ダグラビット、キッドメル、レスティノーラ、メカストリン、メラビオリートム、メラノック、メラソラレン、メラタール、メラトニン、メラトニーナ、メロザン、ノクサレム、オリメラン、ローター、セナクサ、センタル、スレニト、シンクロピン、ヴォキリー"
NP	"N05CM06・プロピオマジン 精神安定剤
プロパバン・プロピオマジン"
PNP	"N06AA04 ·クロミプラミン 精神刺激薬
アナフラニル・クロミプラミン"
PNP	"N06AA09アミトリプチリン精神 刺激薬
アミトリプチリン·アミトリプチリン·アミトリプチリン·サロテン·サロテックス·トリプチル"
PNP	"N06AA10 ·ノルトリプチリン 精神刺激薬
ノリトレン・ノルトリプチリン・ノルトリプチリン"
PNP	"N06AA21マプロチリン精神 刺激薬
ルジオミル・マプロチリン"
NP	"N06AB03 ·フルオキセチン 精神刺激薬
アンデピン、ビオキセチン、フルオクセチン、フルオクセチナ、フルオキセレン、フルオキセチン、フルオキセチン、フルオキセチナ、フルオキセチン、フラクセメド、フルザップ、フォンテックス、ホアナカ、セロメックス、セロニル"
PNP	"N06AB04 ·シタロプラム 精神刺激薬
オーレックス、シプラミル、シタバックス、シタール、シタロプラム、シタキシン、シトロニル、ロキソプラム、オロプラム、プラム、セプラム"
PNP	"N06AB05 ·パロキセチン 精神刺激薬
アルケティス·ユープリックス·オプティパー·パロゲン·パロクセチン·パロキサール·パロキセゲン·パロキセチン·パロキセチン·パロキシノール·パキセチン·パキシクール·パクスチン·レキセチン·セロキサート·ゼタノール·ザッキンター"
PNP	"N06AB06 ·セルトラリン 精神刺激薬
アピオリン、アポセルタ、アセントラ、アセルチン、ミラビル、サスティウム、セルタゲン、セルトラル、セルトラリン、セルトラリナ、セルトラリン、セルトラミル、セルトラノーム、セルトリックス、セルトロン、セタロフト、スティミュロトン、ゾロフト、ゾトラル"
PNP	"N06AB08 ·フルボキサミン 精神刺激薬
デュミロックス・フェバリン・フルボクサミン・フルボソル"
PNP	"N06AB10 ·エスシタロプラム 精神安定剤
アシプレックス、アポエシタキシン、ベテスダ、シプラレックス、デプラリン、エリシア、エスシプラム、エスシタロプラム、エスシチル、エソプラム、エスシタキシン、レクサプロ、モザリン、ネエクスプラム、オロエス、プラレックス、プラマティス、セルベノン、シンメシタール"
PNP	"N06AG02 ·モクロベミド 精神刺激薬
オーロリックス·マネリックス·モベミド·モクロベミド·モクロスタッド·モクラル·モクロベミド"
PNP	"N06AX02 ·トリプトファン 精神刺激薬
l-トリプトファン・トリプトファン"
PNP	"N06AX03・ミアンセリン 精神刺激薬
デプレキソレット・レリボン・ミアンセック・ミアンセゲン・ミアンセリン・ミアンセリン塩酸塩・トルボン"
PNP	"N06AX05 ·トラゾドン 精神刺激薬
アゾナ·アゾネラックス·モリパキシン·トラゾドン·トラゾドン·トリティコ"
PNP	"N06AX11 ·ミルタザピン 精神刺激薬
オーロミルタ·コンバー·エミール·ミロン·ミルタゲン·ミルタザピン·ミルタザピン·ミルティン·ミルトール·ミルザテン·プングリデプ·レメロン·レメロン-s ·レミルタ"
PNP	"N06AX16 ·ベンラファキシン 精神刺激薬
アルベンタ·アキシベン·エファスタド·エフェクチン·エフェクサー·ファクシゲン·ファクソレット·ラファクチン·オリベン·パノフェン·プレファクシン·シンファクシン·ベファミル·ベラファックス·ベラキシン·ベロシン·ベンラファクシン·ベンラファクシン·ベンラファクシン·ベンラジド·ベンレクチン·ベノリオン"
PNP	"N06AX18・レボキセチン 精神刺激薬
エドロナックス・レボクセチン"
PNP	"N06AX21 ·デュロキセチン 精神刺激薬
アリクレーム·アリタビ·アウロデュロックス·シンバルタ·デプラタル·デュシルティア·デュロフォー·デュロクセチン·デュロキセチン·デュロキセチン·ダルセビア·デュルクセテノン·デュチロックス·ロクセンティア·ゼリスター·イェントリーブ"
PNP	"N06AX22 ·アゴメラチン 精神刺激薬
アゴデプ·アゴレク·アゴメラチン·アゴメラチン·アゴメラティナ·ラメゴム·チマナックス·バルドキサン"
PNP	"N06BA02デキサンフェタミン精神 刺激薬
Adhesa · Attadex · Attentin · Deksamfetamin · Dexamfetamin · Dexamfetamine · Dexamfetaminsulfat · Dexatin · Dexedrine · Dexfarm · Dextroamphetamine · Metamina · Tentin"
PNP	"N06BA04メチルフェニデート 精神刺激薬
アデハダー·アテンザ·アテキサム·コグニメンチン·コンサータ·デルモサート·エクアシム·メダネフ·メディキネット·メチルフェニデート·メチルフェニデート塩酸塩·メチルフェニデート塩酸塩· メティクス ·メティフェン·メチルフェニデート·メチロール·ミンデトラ·モティロン·クィリチェウ·リタリン·シンキネット·ツズルビー"
PNP	"N06BA07 ·モダフィニル 精神刺激薬
アクティモダン·アスペンドス·モダフィニル·モダプラム·モディオダル·ミルダモ"
PNP	"N06BA09 ·アトモキセチン 精神刺激薬
アトファブ·アトモクセチン·アトモクセチナ·アトモキセチン·アトモキセチン ベータ·アトモキセチナ·アトモキセチン·オーロキセチン·カマプチン·コナテン·ストラテラ"
PNP	"N06BA12 ·リスデキサンフェタ ミン 精神刺激薬
アディキセミン·アデュバンズ·バリダックス·デキシリティ·ディリダ·エルデファブ· エルバンセ·レクサリズ·リスデキサンフェタミン·リスデキサンフェタミン·リスデキサンフェタミンジメシル酸塩·リスデキサンフェタミンジメシル酸塩·リスデキサンフェタミン·リシデキサンズ·シラロサ·ボリダックス·ボリデキサ·ビバンセ"
PNP	"N06BC01 ·カフェイン 精神刺激薬
カフェイン·コフィーニ シトラス·ゲンセボック·コフェイニー·コフェイン·ペヨナ"
PNP	"N06BX03 ·ピラセタム 精神分析療法
バイオトロピル·ルセタム·メモニック·メモトロピル·ヌートロピル·ピラセタム·レコジウム"
PNP	"N06DA03 ·リバスチグミン 精神分析療法
アトミナ·エバータス·イクセロン·ニムバスティド ·プロメタックス·リグミン·リスティディック·リバウド·リバスチグミン·リバスチグミン·リバストール·リワスティグミナ·リワスティグミナ·ストリヴァロン"
PNP	"N06DA04 ·ガランタミン系 精神刺激薬
ガランタミン・ガルシャ・ニバリン・レミニール"
PNP	"N06DX01・メマンチン 精神刺激薬
アダクソール·アルセモラ·オーロメモ·アクスラ·ビオメンチン·コグノメム·エビクサ·マルボディン·マリクシーノ·メマンチン·メマンチン·メマンチン塩酸塩·メマパックス·メミグミン·メモレック·メンティキサ·ミルベドール·ネムダチン·ネメダン·ポルマティン·ゼンメム"
PNP	"N07AA01 ·ネオスチグミン その他の神経系薬
ネオスチグ・ネオスチグミン・ポルスチグミナム"
PNP	"N07AA02 ·ピリドスチグミン その他の神経系薬
メスチノン・ピリドスチグミン・ピリドスチグミン臭化物・スチグミスタノン"
PNP	"N07AA30 ·アンベノニウム その他の神経系薬
アンベノニウム・ミテラゼ"
PNP	"N07AA51 ·ネオスチグミン、 その他の神経系薬との併用
コプネグ·グリコスティグミン·ネオスチグミン、コンビナスヨナー·ノヴィスティグ·ロビヌル-ネオスチグミン"
PNP	"N07AX01 ·ピロカルピン その他の神経系薬
ピロカルピン・サラゲン"
PNP	"N07BA01 ·ニコチン その他の神経系薬
Nicolex · Nicorama · Nicorette · Nicotinell · Niko · Nikotin · Niquitin · Zonnic"
PNP	"N07BA03 ·バレニクリン その他の神経系薬
チャンピックス·シバレニクス·バレニクリン·バレニクリン·バレニクリニ·バレニクリン"
PNP	"N07BB03・アカンプロサート  その他の神経系薬
アカンプロサットカルシウム·アカンプロサット·カンプラル"
PNP	"N07BB04 ·ナルトレキソン その他の神経系薬
アデップ・マルトレコール・ナルディックス・ナロレックス・ナルテックス・ナルトレクソン・ナルトレキソン・ナルトレキソン・ビタフロー・ナルトレキソン"
NP	"N07BC01 ·ブプレノルフィン その他の神経系薬
ブプレノルフィン·ブプレノルフィン·ブプレノルフィン·ブビダル·エスプラノール·シクモ·スブテックス"
PNP	"N07BC02 ·メタドン その他の神経系薬
ドルメド・マーロドン・メタドン・メタドン・メタドン・ミショー・サブラナ"
PNP	"N07CA01・ベタヒスチン その他の神経系薬
アポベティナ·オーロベティナ·ベタヒスチン·ベタヒスチンジ塩酸塩·ベタヒスチン·ベタヒスチナ·ベタニルフォルテ·ベタセルク·ヒスチゲン·ラヴィスティーナ·メニシィ·ポルバーティック·セルク·ヴァーティコントロール·ヴァーチザン·ヴァーティックス·ヴェスティボ·ヴィルタゴ"
PNP	"N07XX04 ·オキシバトナトリウム その他の神経系薬
Arixobat · Natriumoksibaatti · Natriumoksybat · Natriumoxibat · Natriumoxybat · Oxiore · Sodium Oxybate · Xyrem"
PNP	"N07XX07 ·ファムプリジン その他の神経系薬
ファンプリジン・ファンプリジン・ファンピラ"
PNP	"P01AB01 ·メトロニダゾール 抗原虫薬
アリリン・フラジール・フラジールS・メトロニダゾール・トリコゾール"
PNP	"P01AB02 ·チニダゾール 抗原虫薬
ファシジン・チニダゾール"
PNP	"P01AX06 ·アトバコン 抗原虫薬
アトヴァクボン·アトヴァクオン·アトヴァクオン·ウェルヴォーン"
PNP	"P01BB01・プログアニル 抗原虫薬
プログアニル"
PNP	"P01BB51 ·プログアニルおよびアトバコン 抗原虫薬
ファルシマー·マラロン·マラスタッド·プログアニル / アトバクオン·プロバコミル"
PNP	"P01CX01 ·ペンタミジンイセチオン酸塩 抗原虫薬
ネブペント・ペンタカリナート・ペンタミジン・ペンタミジンジイセチオネート・ペンタミジンジイセチオネート"
NP	"P01CX04 ·ミルテホシン 抗原虫薬
インパビド・ミルテフォシン"
PNP	"P02CA01・メベンダゾール 駆虫薬
メベンダゾール・ベルモックス"
PNP	"P02CF01イベルメクチン駆虫 薬
イベルメクチン·イベルメクチン·イベルメクチン·イベルプラシップ·メクベルウム·ポセラ·スカトール·スカベルチン·ストロメクトール·ベサルコ"
NP	"P02CX01 ·ピルビニウム系 駆虫薬
ピルビン"
PNP	"P02DA01 ·ニクロサミド系 駆虫薬
ニクロサミド・ヨメサン"
PNP	"P03AC04 ·ペルメトリン 外部 寄生虫駆除剤（疥癬治療薬、殺虫剤、忌避剤を含む）
Infectoscab · nix ·ペルメトリン·ペルメトリン·ペルメトリナ スカビノール·ペルメトリナ スカビノール フォルテ·ペルキシン·ソラ フォルテ"
PNP	"R01AA05オキシメタゾリン 点鼻薬
アカタル·アフリン·アフリン グリセロール·ナシビン·ナシビン ヴィックス· ネゼリル·ノソックス·オクシメタゾリン·オキサリン·オキシリン·ライノックス·シヌゾリン·ヴィックス·キシロリンプロテクト"
NP	"R01AA14エピネフリン点 鼻薬
アドレナリン"
PNP	"R01AC01 ·クロモグリク酸 点鼻薬
クロモヘキサール・ナトリウムクロモグリカット・ポルクロム"
PNP	"R01AC02・レボカバスチン 点鼻製剤
ベナリブ・レボカバスチン・リボスチン"
NP	"R01AD01ベクロメタゾン点 鼻薬
ベクロナサル・ベクロナサルフォルテ・ベコナーゼ・ベクロメタソン"
PNP	"R01AD02プレドニゾロン点 鼻製剤
プレドニゾロン"
NP	"R01AD05 ·ブデソニド 点鼻薬
ベナリン・ブデソニド・リビコート・リノコート・タフェン"
NP	"R01AD08 ·フルチカゾン 点鼻薬
ファニポス・フリクソナーゼ・フリクソナーゼナズール・フルリン・フルチカソンプロピオナート・フルタイド・フルチカソン・フルッタシノ・ナソファン・オトラソン・オトリアレルギー"
NP	"R01AD09 ·モメタゾン 点鼻薬
アレリック·アフィアソン·エズトム·ヒタキサ メトミンスプレー·カルメンテ·レダーコート·メトミン·モメネックス·モメソネックス·モメスター·モメタソン·モメタゾン·モメタソンフロアット·モメタゾン·モモックス·ナソメチン·ナソネックス·ナソプロナル·ネノキシン·ニシアン·プロナサル·リノメタゾン·ゾドガン"
NP	"R01AD11 ·トリアムシノロン 点鼻薬
ナサコート・トリアムシノロン・トリアムシノロン"
PNP	"R01AD12 ·フルチカゾンフランカルボン酸 エステル点鼻薬
アリサード、アバミス、ドーダスク、フルチカゾン、フルチカソンフロアット、フルチカソンフロアット、フルチカソンフロアット、フロコート、ポラロ"
NP	"R01AX03・イプラトロピウム臭化物 点鼻薬
アトロベント・イプラトロピウム・イプラトロピウム臭化物・イプラザップ・ロムススプレー・リニベント"
NP	"R01BA01 ·フェニルプロパノール アミン点鼻薬
フェニルプロパノールアミン・リネキシン"
PNP	"R02AD02・リドカイン 咽頭消毒剤
リドカイン・トラキサン"
NP	"R03AA01 ·エピネフリン 閉塞性気道疾患治療薬
アドレナリン・アスマネフリン・s2 ラセピネフリン"
NP	"R03AC02 ·サルブタモール 閉塞性気道疾患治療薬
アイロミール、エアサルブ、アスプルモ、ブベントール、レルハサ、サブマリン、サラモール、サルブ、サルブエア、サルブタモール、スルタノール、スルタノールフォルテ、ベンティラスチン、ベントリン、ベントリン"
NP	"R03AC03 ·テルブタリン 閉塞性気道疾患治療薬
ブリカニル・テルブタリン・テルブタリンスルファト"
PNP	"R03AC04 ·フェノテロール 閉塞性気道疾患治療薬
ベロテック・フェノテロール"
PNP	"R03AC12 ·サルメテロール 閉塞性気道疾患治療薬
アスメティック・プルモテロール・プルベリル・サルメテロール・セレベント"
PNP	"R03AC13 ·フォルモテロール 閉塞性気道疾患治療薬
アティモス·ケモテロール·フォラジル·フォルメド·フォラストミン·フォルマクサ·フォルモ·フォルモケム·フォルモテロール·フォルモティフィ·オキシス·オキソジル·ザフィロン"
PNP	"R03AK04 ·サルブタモールおよびクロモグリク酸ナトリウム  閉塞性気道疾患治療薬
イプラトロピウム /サルブタモール·サルブタモール og ナトリウムクロモグリカット"
PNP	"R03AK06 ·サルメテロールおよびフルチカゾン 閉塞性気道疾患治療薬
Aerivio · Airexar · Airflusal · Asaris · Asaris PMDI · Aurodisc · Aurospira · Bropair · Comboterol · Duexon · Flixodil · Flusacomb · Fluticomb · Fullhale · Neuair · Salflumix · Salmeterol / Fluticason · Salmeterol / Fluticasone · Salmeterol / Fluticasonpropionat · Salmeterol og Flutikason · Salmex · Seffalair · Serefarm · Seretide · Serkep · Symflusal · Veriflo"
NP	"R03AK07 · 閉塞性気道疾患治療薬：ホルモテロールおよびブデソニド
Airbufo · Biresp · Budesonid / Formoterolfumaratdihydrat · Bufar · Bufomix · Duoresp · Formoterol og Budesonid · Goresp · Oxodil · Pulmoton · Symbicort · Symbicort Forte"
PNP	"R03AK11 · 閉塞性気道疾患治療薬：ホルモテロールおよびフルチカゾン
フルティフォーム・フォルモテロール、フルチカソン"
NP	"R03BA01 ·ベクロメタゾン 閉塞性気道疾患治療薬
エアロベック・ベクロメット・ベクロメタソンジプロピオナート・ベクロメタソン・ソプロベック"
NP	"R03BA02 ·ブデソニド 閉塞性気道疾患治療薬
bds ·ベノディル·ブデノバ·ブデソニド·ブデソニド·ブデゾニド·ブディアイル·ブディプルミ·ブディクソン·ジオナ·ミフロニド·ネブッド·ネブリン·ノボプルモン·オンデメット·プルミコート·レスブッド·リブスピル·スピロコート"
NP	"R03BA05 ·フルチカゾン 閉塞性気道疾患治療薬
フルチコタイド・フルリナール・フルチカソンプロピオナート・フルチド・フルチカソン・フルチキソン・イクソリ"
NP	"R03BA07 ·モメタゾン 閉塞性気道疾患治療薬
アスマネックス・モメタソン"
PNP	"R03BB01・イプラトロピウム臭化物  閉塞性気道疾患治療薬
アトロディル·アトロベント·イプラトロピウムブロミド·イプラベント·イプラクサ"
PNP	"R03BB04 ·チオトロピウム臭化物 閉塞性気道疾患治療薬
アコペア、ブラルタス、ガルティオール、ルンガモ、ヌオディル、オンティプリア、シルカヴァ、スピリヴァ、スリヴァッソ、ティオギヴァ、ティオトロピウム、ティオトロピウムブロミド"
NP	"R03BC01 ·クロモグリク酸 閉塞性気道疾患治療薬
Dncg ·ロムダル·ナトリウムクロモグリカット"
PNP	"R03CA02 ·エフェドリン 閉塞性気道疾患治療薬
エフェドリン・エフェドリナム"
NP	"R03CC02 ·サルブタモール 閉塞性気道疾患治療薬
サルブタモール・ベンティラン・ベントリン・ベントリン"
NP	"R03CC03 ·テルブタリン 閉塞性気道疾患治療薬
ブリカニル・テルバスミン・テルブタリン・テルブタリン"
PNP	"R03CC12 ·バンブテロール 閉塞性気道疾患治療薬
バンブテロール"
PNP	"R03DA02 ·コリンテオフィリネート 閉塞性気道疾患治療薬
コリンテオフィリナート"
PNP	"R03DA04 ·テオフィリン 閉塞性気道疾患治療薬
気管支遅延剤・ユーフィリン・テオフィリン・テロモール・テオデュール・テオフィリナム・テオスピレックス・ユニキサン"
PNP	"R03DA05 ·アミノフィリン 閉塞性気道疾患治療薬
アミノコント・アミノフィリナ・アミノフィリナ・アミノフィリン・テオフィリネチレンジアミン"
NP	"R05CB01アセチルシステイン配合の 咳止め・風邪薬
acc · acc Optima · Aceflucil · Acetylcystein · Acetylcysteinum Flegamina · Bisolaclar · Bronkyl · Bronkyl Forte · Fluimucil Forte · Fluimucil Muko · Granon · Meditus · Muccosinal · Mucoatac · Mucofortin · Mucolysin · Mucomyst · Mucoratio · Múkósín · n-Acetyl Cysteine · Respifortin · Tussicom"
PNP	"R05CB02 ·ブロムヘキシン 配合の咳止め・風邪薬
ビソルボン・ブロムヘキシン・ブロムヘキシン・フレガフォルタン・フレガミナ・フレグタック・メディペクト・シネックス"
NP	"R05CB13 ·ドルナーゼアルファ（デオキシリボヌクレアーゼ） 咳止め・風邪薬
ドルナーゼ アルファ (デソクシリボヌクレアーゼ) ·パルモザイム"
PNP	"R05DA04 ·コデイン配合の 咳止め・風邪薬
ヘルバピニ·コデイン·ネオアザリナ·シルプス ピニ コンポジトゥス"
PNP	"R06AA09 ·ドキシル アミン 全身用抗ヒスタミン剤
ベノセン·ドクシラミン·ドクシルラミナ·ドルミディナ ドキシラミナ·ドーミノックス·ドーミックス·ドキシラミナ·ドキシルアミン·ドキシパット·ニテドール·ノクティス·ノクティス フォルテ·セナミナ·セナミナ フォルテ·センティノ·センティノ フォルテ·ソノクセン·ソノクセン フォルテ·ゾナト"
PNP	"R06AA59 ·ドキシルアミン、配合 抗ヒスタミン剤（全身投与用）
ボンジェスタ·ドクシラミン、コンビナスヨナー·エンバジン·ソンベア"
PNP	"R06AD01 ·アリメマジン 全身用抗ヒスタミン剤
アリメマジン・セラレン"
PNP	"R06AD02・プロメタジン 全身用抗ヒスタミン剤
ジフェルガン・フェネルガン・ポルフェルガン・プロメタジン・プロメタジン"
PNP	"R06AD03 ·チエチルペラジン 抗ヒスタミン剤（全身投与用）
チエチルペラジン・トレカン"
PNP	"R06AE03 ·シクリジン 全身用抗ヒスタミン剤
シクリジン・ゴトゥール・マルジン・シクリジン・バロイド"
NP	"R06AE07・セチリジン 全身用抗ヒスタミン剤
Alermed · Alerzina · Allemax · Allertec · Alnok · Amertil · Amertil bio · Benaday · Cetalergin · Cetigran · Cetimax · Cetip · Cetiriva · Cetirizin · Cetirizindihydrochlorid · Cetirizine · Cetoalergedd · Cetririzinum · Cetrix · Cetyryzyna · Heinix · Histasín · Histec · Letizen · Vialerg · Zensitin · Zyrtec"
PNP	"R06AX13・ロラタジン 全身用抗ヒスタミン剤
アレリック・ロラ·クラリチン·クラリティン·フロニダン · ロラタディン·ロラタジン·ロラタディナ·ロラタディナパイロックス·ロラタン·ロリティン·ミルディン·ナソメチンアレルギー"
PNP	"R06AX22 ·エバスチン 全身用抗ヒスタミン剤
エバスチン・エヴァスティックス・ケスティン・ケストックス・ポラスチン"
PNP	"R06AX25・ミゾラスチン 全身用抗ヒスタミン剤
ミゾラスチン"
PNP	"R06AX26 ·フェキソフェナジン 全身用抗ヒスタミン剤
アレグラ·アレグラ テルファスト·アレテック フェキソ·アルノジン·アルターファスト·アルティフェックス·クラリファスト·フェキソフェナジン·フェキサヒスト· フェキソファスト·フェキソフェナジン·フェキソフェナジン塩酸塩·フェキソフェナジン·ヒスタファスト·ネフォクセフ·テルファスト·テルフェキソ"
PNP	"R06AX27デスロラタジン 全身用抗ヒスタミン剤
アエリウス·アレルデス·アレルゴテワ·アレリック デスロ·アゾミル·カレディン·ダセルギン·ダッセルタ·デロルタン·デセタクス·デスロディナ·デスロラタジン·デスロラタジン·デスロラタディナ·デスロックス·デスメラディア·デスタミン·ダイニド·ダイニドジェム·フリニース·ゴルデシンアレルストップ·ヒタクサ·ジョベスト·ケベニックス·ネオクラリティン·テスラー·ヴァロラ"
PNP	"R06AX28 ·ルパタジン 全身用抗ヒスタミン剤
アレルプロフ、ルダバネ、ルパフィン、ルパッラー、ルパタジン、ルパタジン、ルパタディヌム、ルパクサ、ルピロン、ルポクラー、ルプリクス、ウルタイムド"
NP	"R07AA02 ·天然リン脂質  その他の呼吸器系製品
クロサーフ・ナチュリージュ・フォスフォリピダー"
PNP	"S01AA01 ·クロラムフェニコール 眼科用製剤
クロラムフェニコル・オフタン・アクヴァコル・オフタン・クロラ"
PNP	"S01AA02 ·クロルテトラサイクリン 眼科用製剤
オーレオマイシン・クロルテトラシクリン"
NP	"S01AA12 ·トブラマイシン 眼科用製剤
トブラル・トブラマイシン・トブレックス・トブレキサン・トブロソプト"
NP	"S01AA13 ·フシジン酸眼科 用製剤
フシタルミン酸・フシジン酸・フシジンシレ"
PNP	"S01AA20 ·抗生物質と他の薬剤の併用 眼科用
抗生物質とコンビナスヨナー、アンドレ・ミドラー"
NP	"S01AD03・アシクロビル眼科 用製剤
アシクロビル·アシクロビル·オキケア·ウイルス·ゾロックス"
NP	"S01AD08 ·フォミビルセン 眼科用製剤
フォミビルセン"
